"","geneName","origRownames","ensembl_gene_id","gene_biotype","external_gene_name","entrezgene_id"
"ENSG00000000003","ENSG00000000003","ENSG00000000003","ENSG00000000003","protein_coding","TSPAN6",7105
"ENSG00000000419","ENSG00000000419","ENSG00000000419","ENSG00000000419","protein_coding","DPM1",8813
"ENSG00000000457","ENSG00000000457","ENSG00000000457","ENSG00000000457","protein_coding","SCYL3",57147
"ENSG00000000460","ENSG00000000460","ENSG00000000460","ENSG00000000460","protein_coding","FIRRM",55732
"ENSG00000000938","ENSG00000000938","ENSG00000000938","ENSG00000000938","protein_coding","FGR",2268
"ENSG00000000971","ENSG00000000971","ENSG00000000971","ENSG00000000971","protein_coding","CFH",3075
"ENSG00000001036","ENSG00000001036","ENSG00000001036","ENSG00000001036","protein_coding","FUCA2",2519
"ENSG00000001084","ENSG00000001084","ENSG00000001084","ENSG00000001084","protein_coding","GCLC",2729
"ENSG00000001167","ENSG00000001167","ENSG00000001167","ENSG00000001167","protein_coding","NFYA",4800
"ENSG00000001460","ENSG00000001460","ENSG00000001460","ENSG00000001460","protein_coding","STPG1",90529
"ENSG00000001461","ENSG00000001461","ENSG00000001461","ENSG00000001461","protein_coding","NIPAL3",57185
"ENSG00000001497","ENSG00000001497","ENSG00000001497","ENSG00000001497","protein_coding","LAS1L",81887
"ENSG00000001561","ENSG00000001561","ENSG00000001561","ENSG00000001561","protein_coding","ENPP4",22875
"ENSG00000001617","ENSG00000001617","ENSG00000001617","ENSG00000001617","protein_coding","SEMA3F",6405
"ENSG00000001626","ENSG00000001626","ENSG00000001626","ENSG00000001626","protein_coding","CFTR",1080
"ENSG00000001629","ENSG00000001629","ENSG00000001629","ENSG00000001629","protein_coding","ANKIB1",54467
"ENSG00000001630","ENSG00000001630","ENSG00000001630","ENSG00000001630","protein_coding","CYP51A1",1595
"ENSG00000001631","ENSG00000001631","ENSG00000001631","ENSG00000001631","protein_coding","KRIT1",889
"ENSG00000002016","ENSG00000002016","ENSG00000002016","ENSG00000002016","protein_coding","RAD52",5893
"ENSG00000002079","ENSG00000002079","ENSG00000002079","ENSG00000002079","transcribed_unitary_pseudogene","MYH16",NA
"ENSG00000002330","ENSG00000002330","ENSG00000002330","ENSG00000002330","protein_coding","BAD",572
"ENSG00000002549","ENSG00000002549","ENSG00000002549","ENSG00000002549","protein_coding","LAP3",51056
"ENSG00000002586","ENSG00000002586","ENSG00000002586","ENSG00000002586","protein_coding","CD99",4267
"ENSG00000002587","ENSG00000002587","ENSG00000002587","ENSG00000002587","protein_coding","HS3ST1",9957
"ENSG00000002726","ENSG00000002726","ENSG00000002726","ENSG00000002726","protein_coding","AOC1",26
"ENSG00000002745","ENSG00000002745","ENSG00000002745","ENSG00000002745","protein_coding","WNT16",51384
"ENSG00000002746","ENSG00000002746","ENSG00000002746","ENSG00000002746","protein_coding","HECW1",23072
"ENSG00000002822","ENSG00000002822","ENSG00000002822","ENSG00000002822","protein_coding","MAD1L1",8379
"ENSG00000002834","ENSG00000002834","ENSG00000002834","ENSG00000002834","protein_coding","LASP1",3927
"ENSG00000002919","ENSG00000002919","ENSG00000002919","ENSG00000002919","protein_coding","SNX11",29916
"ENSG00000002933","ENSG00000002933","ENSG00000002933","ENSG00000002933","protein_coding","TMEM176A",55365
"ENSG00000003056","ENSG00000003056","ENSG00000003056","ENSG00000003056","protein_coding","M6PR",4074
"ENSG00000003096","ENSG00000003096","ENSG00000003096","ENSG00000003096","protein_coding","KLHL13",90293
"ENSG00000003137","ENSG00000003137","ENSG00000003137","ENSG00000003137","protein_coding","CYP26B1",56603
"ENSG00000003147","ENSG00000003147","ENSG00000003147","ENSG00000003147","protein_coding","ICA1",3382
"ENSG00000003249","ENSG00000003249","ENSG00000003249","ENSG00000003249","protein_coding","DBNDD1",79007
"ENSG00000003393","ENSG00000003393","ENSG00000003393","ENSG00000003393","protein_coding","ALS2",57679
"ENSG00000003400","ENSG00000003400","ENSG00000003400","ENSG00000003400","protein_coding","CASP10",843
"ENSG00000003402","ENSG00000003402","ENSG00000003402","ENSG00000003402","protein_coding","CFLAR",8837
"ENSG00000003436","ENSG00000003436","ENSG00000003436","ENSG00000003436","protein_coding","TFPI",7035
"ENSG00000003509","ENSG00000003509","ENSG00000003509","ENSG00000003509","protein_coding","NDUFAF7",55471
"ENSG00000003756","ENSG00000003756","ENSG00000003756","ENSG00000003756","protein_coding","RBM5",10181
"ENSG00000003987","ENSG00000003987","ENSG00000003987","ENSG00000003987","protein_coding","MTMR7",9108
"ENSG00000003989","ENSG00000003989","ENSG00000003989","ENSG00000003989","protein_coding","SLC7A2",6542
"ENSG00000004059","ENSG00000004059","ENSG00000004059","ENSG00000004059","protein_coding","ARF5",381
"ENSG00000004139","ENSG00000004139","ENSG00000004139","ENSG00000004139","protein_coding","SARM1",23098
"ENSG00000004142","ENSG00000004142","ENSG00000004142","ENSG00000004142","protein_coding","POLDIP2",26073
"ENSG00000004399","ENSG00000004399","ENSG00000004399","ENSG00000004399","protein_coding","PLXND1",23129
"ENSG00000004455","ENSG00000004455","ENSG00000004455","ENSG00000004455","protein_coding","AK2",204
"ENSG00000004468","ENSG00000004468","ENSG00000004468","ENSG00000004468","protein_coding","CD38",952
"ENSG00000004478","ENSG00000004478","ENSG00000004478","ENSG00000004478","protein_coding","FKBP4",2288
"ENSG00000004487","ENSG00000004487","ENSG00000004487","ENSG00000004487","protein_coding","KDM1A",23028
"ENSG00000004534","ENSG00000004534","ENSG00000004534","ENSG00000004534","protein_coding","RBM6",10180
"ENSG00000004660","ENSG00000004660","ENSG00000004660","ENSG00000004660","protein_coding","CAMKK1",84254
"ENSG00000004700","ENSG00000004700","ENSG00000004700","ENSG00000004700","protein_coding","RECQL",5965
"ENSG00000004766","ENSG00000004766","ENSG00000004766","ENSG00000004766","protein_coding","VPS50",55610
"ENSG00000004776","ENSG00000004776","ENSG00000004776","ENSG00000004776","protein_coding","HSPB6",126393
"ENSG00000004777","ENSG00000004777","ENSG00000004777","ENSG00000004777","protein_coding","ARHGAP33",115703
"ENSG00000004779","ENSG00000004779","ENSG00000004779","ENSG00000004779","protein_coding","NDUFAB1",4706
"ENSG00000004799","ENSG00000004799","ENSG00000004799","ENSG00000004799","protein_coding","PDK4",5166
"ENSG00000004838","ENSG00000004838","ENSG00000004838","ENSG00000004838","protein_coding","ZMYND10",51364
"ENSG00000004846","ENSG00000004846","ENSG00000004846","ENSG00000004846","protein_coding","ABCB5",340273
"ENSG00000004864","ENSG00000004864","ENSG00000004864","ENSG00000004864","protein_coding","SLC25A13",10165
"ENSG00000004866","ENSG00000004866","ENSG00000004866","ENSG00000004866","protein_coding","ST7",7982
"ENSG00000004897","ENSG00000004897","ENSG00000004897","ENSG00000004897","protein_coding","CDC27",996
"ENSG00000004961","ENSG00000004961","ENSG00000004961","ENSG00000004961","protein_coding","HCCS",3052
"ENSG00000004975","ENSG00000004975","ENSG00000004975","ENSG00000004975","protein_coding","DVL2",1856
"ENSG00000005007","ENSG00000005007","ENSG00000005007","ENSG00000005007","protein_coding","UPF1",5976
"ENSG00000005020","ENSG00000005020","ENSG00000005020","ENSG00000005020","protein_coding","SKAP2",8935
"ENSG00000005022","ENSG00000005022","ENSG00000005022","ENSG00000005022","protein_coding","SLC25A5",292
"ENSG00000005059","ENSG00000005059","ENSG00000005059","ENSG00000005059","protein_coding","MCUB",55013
"ENSG00000005073","ENSG00000005073","ENSG00000005073","ENSG00000005073","protein_coding","HOXA11",3207
"ENSG00000005075","ENSG00000005075","ENSG00000005075","ENSG00000005075","protein_coding","POLR2J",5439
"ENSG00000005100","ENSG00000005100","ENSG00000005100","ENSG00000005100","protein_coding","DHX33",56919
"ENSG00000005102","ENSG00000005102","ENSG00000005102","ENSG00000005102","protein_coding","MEOX1",4222
"ENSG00000005108","ENSG00000005108","ENSG00000005108","ENSG00000005108","protein_coding","THSD7A",221981
"ENSG00000005156","ENSG00000005156","ENSG00000005156","ENSG00000005156","protein_coding","LIG3",3980
"ENSG00000005175","ENSG00000005175","ENSG00000005175","ENSG00000005175","protein_coding","RPAP3",79657
"ENSG00000005187","ENSG00000005187","ENSG00000005187","ENSG00000005187","protein_coding","ACSM3",6296
"ENSG00000005189","ENSG00000005189","ENSG00000005189","ENSG00000005189","protein_coding","REXO5",81691
"ENSG00000005194","ENSG00000005194","ENSG00000005194","ENSG00000005194","protein_coding","CIAPIN1",57019
"ENSG00000005206","ENSG00000005206","ENSG00000005206","ENSG00000005206","protein_coding","SPPL2B",56928
"ENSG00000005238","ENSG00000005238","ENSG00000005238","ENSG00000005238","protein_coding","ATOSB",80256
"ENSG00000005243","ENSG00000005243","ENSG00000005243","ENSG00000005243","protein_coding","COPZ2",51226
"ENSG00000005249","ENSG00000005249","ENSG00000005249","ENSG00000005249","protein_coding","PRKAR2B",5577
